iter	Passed	Remaining
413	3032	4292
414	3038	4283
415	3045	4275
416	3052	4267
417	3057	4257
418	3063	4248
419	3071	4241
420	3077	4232
421	3084	4224
422	3090	4215
423	3095	4205
424	3103	4198
425	3109	4190
426	3116	4181
427	3122	4173
428	3128	4164
429	3136	4157
430	3142	4148
431	3148	4139
432	3154	4131
433	3160	4121
434	3167	4113
435	3173	4104
436	3180	4097
437	3188	4091
438	3195	4082
439	3203	4077
440	3210	4070
441	3218	4063
442	3225	4055
443	3233	4048
444	3240	4041
445	3250	4037
446	3257	4030
447	3267	4025
448	3274	4018
449	3283	4013
450	3293	4009
451	3302	4004
452	3310	3997
453	3319	3992
454	3326	3984
455	3335	3978
456	3341	3970
457	3349	3964
458	3355	3955
459	3363	3948
460	3369	3939
461	3375	3931
462	3383	3924
463	3389	3916
464	3397	3908
465	3402	3899
466	3408	3890
467	3415	3882
468	3421	3873
469	3428	3866
470	3435	3858
471	3441	3850
472	3449	3843
473	3455	3834
474	3462	3827
475	3469	3819
476	3477	3812
477	3483	3804
478	3489	3795
479	3497	3788
480	3505	3782
481	3512	3774
482	3518	3766
483	3525	3758
484	3533	3751
485	3539	3743
486	3546	3735
487	3552	3726
488	3558	3718
489	3564	3710
490	3570	3701
491	3577	3693
492	3583	3685
493	3589	3676
494	3596	3669
495	3603	3661
496	3610	3654
497	3617	3646
498	3624	3639
499	3632	3632
500	3638	3623
501	3645	3616
502	3652	3608
503	3659	3601
504	3666	3593
505	3674	3587
506	3681	3579
507	3689	3573
508	3696	3565
509	3703	3557
510	3710	3550
511	3718	3544
512	3725	3536
513	3732	3529
514	3740	3522
515	3747	3514
516	3754	3507
517	3761	3500
518	3768	3492
519	3776	3485
520	3782	3477
521	3789	3470
522	3795	3461
523	3801	3453
524	3808	3446
525	3814	3437
526	3823	3431
527	3829	3423
528	3835	3414
529	3843	3408
530	3849	3399
531	3856	3392
532	3862	3384
533	3868	3376
534	3875	3368
535	3881	3359
536	3888	3352
537	3894	3344
538	3901	3336
539	3907	3328
540	3912	3319
541	3919	3312
542	3925	3303
543	3931	3295
544	3939	3289
545	3945	3281
546	3953	3273
547	3959	3266
548	3966	3258
549	3972	3250
550	3978	3242
551	3985	3234
552	3991	3226
553	3996	3217
554	4004	3210
555	4010	3202
556	4017	3195
557	4023	3186
558	4028	3178
559	4036	3171
560	4042	3163
561	4049	3156
562	4057	3149
563	4062	3140
564	4071	3134
565	4077	3126
566	4084	3119
567	4090	3110
568	4096	3102
569	4102	3095
570	4108	3086
571	4115	3079
572	4121	3071
573	4127	3063
574	4135	3056
575	4141	3048
576	4147	3040
577	4153	3032
578	4159	3024
579	4169	3019
580	4175	3011
581	4181	3003
582	4188	2995
583	4195	2988
584	4201	2980
585	4207	2972
586	4214	2965
587	4220	2957
588	4226	2949
589	4233	2941
590	4239	2933
591	4246	2926
592	4251	2918
593	4258	2910
594	4264	2902
595	4270	2894
596	4279	2888
597	4285	2880
598	4291	2873
599	4297	2865
600	4303	2857
601	4311	2850
602	4317	2842
603	4323	2834
604	4330	2827
605	4336	2819
606	4343	2811
607	4349	2804
608	4354	2796
609	4362	2788
610	4368	2781
611	4375	2774
612	4382	2766
613	4389	2759
614	4395	2751
615	4401	2743
616	4408	2736
617	4414	2728
618	4420	2720
619	4427	2713
620	4433	2705
621	4440	2698
622	4446	2690
623	4451	2682
624	4458	2675
625	4464	2667
626	4472	2660
627	4479	2653
628	4488	2647
629	4494	2639
630	4501	2632
631	4510	2626
632	4516	2618
633	4524	2611
634	4530	2603
635	4536	2596
636	4543	2589
637	4549	2581
638	4558	2575
639	4564	2567
640	4572	2560
641	4578	2553
642	4585	2546
643	4592	2538
644	4599	2531
645	4606	2524
646	4613	2517
647	4621	2510
648	4627	2502
649	4634	2495
650	4641	2488
651	4647	2480
652	4654	2473
653	4660	2465
654	4668	2458
655	4675	2451
656	4682	2444
657	4689	2437
658	4696	2430
659	4704	2423
660	4711	2416
661	4717	2408
662	4723	2401
663	4730	2393
664	4737	2386
665	4743	2378
666	4750	2371
667	4756	2364
668	4762	2356
669	4770	2349
670	4777	2342
671	4785	2335
672	4791	2328
673	4798	2321
674	4805	2313
675	4812	2306
676	4819	2299
677	4825	2291
678	4833	2284
679	4840	2277
680	4846	2270
681	4855	2263
682	4861	2256
683	4870	2250
684	4876	2242
685	4884	2235
686	4890	2228
687	4898	2221
688	4904	2213
689	4910	2206
690	4919	2199
691	4925	2192
692	4933	2185
693	4939	2177
694	4946	2170
695	4952	2162
696	4958	2155
697	4965	2148
698	4971	2140
699	4978	2133
700	4986	2126
701	4992	2119
702	5000	2112
703	5006	2105
704	5014	2098
705	5020	2090
706	5027	2083
707	5033	2076
708	5040	2068
709	5047	2061
710	5053	2054
711	5061	2047
712	5067	2039
713	5073	2032
714	5081	2025
715	5088	2018
716	5095	2011
717	5101	2003
718	5107	1996
719	5114	1988
720	5120	1981
721	5128	1974
722	5134	1967
723	5140	1959
724	5148	1952
725	5154	1945
726	5161	1938
727	5167	1930
728	5174	1923
729	5181	1916
730	5187	1908
731	5194	1901
732	5200	1894
733	5207	1887
734	5213	1879
735	5219	1872
736	5226	1864
737	5231	1857
738	5238	1850
739	5244	1842
740	5250	1835
741	5259	1828
742	5264	1821
743	5271	1813
744	5277	1806
745	5283	1798
746	5290	1791
747	5297	1784
748	5303	1777
749	5310	1770
750	5316	1762
751	5323	1755
752	5329	1748
753	5335	1740
754	5343	1734
755	5350	1726
756	5357	1719
757	5363	1712
758	5371	1705
759	5377	1698
760	5383	1690
761	5391	1683
762	5399	1677
763	5408	1670
764	5416	1663
765	5425	1657
766	5431	1650
767	5440	1643
768	5446	1636
769	5454	1629
770	5461	1622
771	5468	1614
772	5474	1607
773	5480	1600
774	5490	1593
775	5496	1586
776	5505	1580
777	5511	1572
778	5518	1565
779	5524	1558
780	5530	1550
781	5537	1543
782	5543	1536
783	5551	1529
784	5558	1522
785	5565	1515
786	5573	1508
787	5579	1501
788	5588	1494
789	5594	1487
790	5604	1480
791	5611	1473
792	5620	1467
793	5626	1459
794	5636	1453
795	5643	1446
796	5653	1439
797	5660	1432
798	5669	1426
799	5676	1419
800	5684	1412
801	5691	1405
802	5700	1398
803	5709	1391
804	5717	1384
805	5724	1377
806	5733	1371
807	5746	1365
808	5758	1359
809	5772	1353
810	5781	1347
811	5790	1340
812	5800	1334
813	5807	1327
814	5819	1320
815	5828	1314
816	5839	1308
817	5851	1301
818	5859	1294
819	5869	1288
820	5880	1282
821	5887	1274
822	5894	1267
823	5903	1260
824	5911	1254
825	5919	1246
826	5926	1239
827	5934	1232
828	5941	1225
829	5949	1218
830	5956	1211
831	5965	1204
832	5972	1197
833	5980	1190
834	5986	1182
835	5993	1175
836	6000	1168
837	6007	1161
838	6014	1154
839	6020	1146
840	6027	1139
841	6035	1132
842	6042	1125
843	6049	1118
844	6056	1110
845	6063	1103
846	6069	1096
847	6077	1089
848	6083	1081
849	6090	1074
850	6096	1067
851	6102	1059
852	6109	1052
853	6115	1045
854	6122	1038
855	6128	1030
856	6134	1023
857	6142	1016
858	6148	1009
859	6155	1002
860	6162	994
861	6168	987
862	6174	980
863	6181	972
864	6188	965
865	6194	958
866	6199	951
867	6207	943
868	6213	936
869	6220	929
870	6227	922
871	6233	915
872	6240	907
873	6247	900
874	6254	893
875	6261	886
876	6267	879
877	6274	871
878	6281	864
879	6288	857
880	6295	850
881	6301	843
882	6307	835
883	6314	828
884	6320	821
885	6327	814
886	6333	806
887	6339	799
888	6346	792
889	6352	785
890	6359	777
891	6365	770
892	6373	763
893	6379	756
894	6387	749
895	6394	742
896	6403	735
897	6409	728
898	6416	720
899	6425	713
900	6431	706
901	6439	699
